"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"R25";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R26";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R27";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R28";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R29";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R30";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R31";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R32";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R33";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R34";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R35";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R36";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R37";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R38";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R39";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R40";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R41";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R42";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R43";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R44";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R45";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R46";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R47";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R48";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"RCAL";"RCA";"RCA";"RCA";"";"";"";"";"";"";"";"";"";
"RCAR";"RCA";"RCA";"RCA";"";"";"";"";"";"";"";"";"";
"T1";"DAC101C";"DAC101C";"DAC101";"";"";"";"";"";"";"";"";"";
"T2";"DAC101C";"DAC101C";"DAC101";"";"";"";"";"";"";"";"";"";
"U$1";"COMBO384";"COMBO384";"COMBO384";"";"";"";"";"";"";"";"";"";
"U$2";"TORX147";"TORX147";"TORX147";"";"";"";"";"";"";"";"";"";
"U$3";"MAX3280E";"MAX3280E";"SOT23-5L";"";"";"";"";"";"";"";"";"";
"U$4";"MAX3280E";"MAX3280E";"SOT23-5L";"";"";"";"";"";"";"";"";"";
"U$5";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U$6";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U$7";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$8";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$9";"VDACA";"VDACA";"VDACA";"";"";"";"";"";"";"";"";"";
"U$10";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$11";"VDACA";"VDACA";"VDACA";"";"";"";"";"";"";"";"";"";
"U$12";"CMOD-A7";"CMOD-A7";"CMODA7";"";"";"";"";"";"";"";"";"";
"U$13";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U$14";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U$15";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$16";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$17";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$18";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$19";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$20";"LP5907";"LP5907";"SOT-23-5";"";"";"";"";"";"";"";"";"";
"U$21";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U$22";"LME49720";"LME49720";"DIL08";"";"";"";"";"";"";"";"";"";
"U1";"SN74LVC1G125DBVT";"SN74LVC1G125DBVT";"SOT95P280X145-5N";"Single Bus buffer gate with 3 state output";"";"SN74LVC1G125DBVT";"1607643";"32H6348";"SOT-23-5";"";"Texas Instruments";"";
"X1";"NC3MBH";"NC3MBH";"NC3MBH";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3MBH";"unknown";"91F3470";"";"";"";"";
"X2";"NC3MBH";"NC3MBH";"NC3MBH";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3MBH";"unknown";"91F3470";"";"";"";"";
"X3";"NC4FBH";"NC4FBH";"NC4FBH";"Neutrik Audio Connector XLR SERIES";"";"";"unknown";"unknown";"";"";"";"";
"X4";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"";"";"";"";
"X5";"MKDSN1,5/7-5,08";"MKDSN1,5/7-5,08";"MKDSN1,5/7-5,08";"MKDSN 1,5/ 7-5,08 Printklemme";"";"";"";"";"";"";"";"";
"X6";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"";"";"";"";
